Upc,Department,qty,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
076183003299,Drinks NT 5,1,n,n,Snapple Pink Lemonade,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183003305,Drinks NT 5,1,n,n,Snapple Mango Tea,16 oz,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183003961,Grocery,1,n,n,Snapple Mango,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183020449,Drinks NT 10,1,n,n,Snapple Mango,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183087954,Drinks NT 10,1,n,n,Snapple,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183202005,Drinks NT 5,1,n,n,Snapple:Lemon,20.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183202012,Drinks NT 5,1,n,n,Snapple:Peach,20.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183202029,Drinks NT 5,1,n,n,Snapple Raspberry,20.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183202036,Grocery,1,n,n,Snapple:Kiwi Strawberry,20.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183202043,Grocery,1,n,n,Snapple Mango,1,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183202050,Grocery,1,n,n,Snapple:Fruit Punch,20.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183202081,Grocery,1,n,n,Snapple:Juice Drink  Snapple Apple,20.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076183323564,Drinks NT 10,1,n,n,Snapple Iced Tea  Peach,32.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183323571,Drinks NT 10,1,n,n,Snapple:Peach,32.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183323632,Drinks NT 10,1,n,n,Snapple Kiwi Strawberry,32.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183323649,Drinks NT 10,1,n,n,Snapple:Mango Madness,32.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183323724,Drinks NT 10,1,n,n,Snapple Fruit Punch,32.00 OZ,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183323786,Drinks NT 10,1,n,n,Snapple:Raspberry,32.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183328507,Drinks NT 10,1,n,n,Snapple Apple Juice Drink,32 oz,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183455128,Drinks NT 5,1,n,n,Snapple Watermelon,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076183468326,Drinks T5,1,n,n,Snapple Strawberry Pineapple Lemonade,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076301590052,Drinks NT 5,1,n,n,Apple & Eve Apple,10.00 FL OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397001074,Grocery,1,n,n,La Costena:Green Pickled,7.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397001128,Grocery,1,n,n,La Costena:Green Pickled Jalapenos,12.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076397001289,Grocery,1,n,n,La Costena:Green Pickled,26.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076397002071,Grocery,1,n,n,La Costena:Green Pickled Sliced,7.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397002125,Grocery,1,n,n,La Costena:Green Pickled Sliced,12.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397002286,Grocery,1,n,n,La Costena:Green Pickled Sliced,28.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397003078,Grocery,1,n,n,La Costena:Green Pickled,7.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397003122,Grocery,1,n,n,La Costena:Green Pickled,12.00 OZ,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
076397004075,Grocery,1,n,n,La Costena:In Adobo Sauce,7.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397005119,Grocery,1,n,n,La Costena:Pickled Jalapeno,12.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397030012,Grocery,1,n,n,La Costena: Taquera Salsa Medium,16.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397030166,Grocery,1,n,n,La Costeña Chipotles,8.11 Oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397031507,Item Tax,1,n,n,La Costena Refried Pinto Beans,20.50 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076397032504,Grocery,1,n,n,La Costena Refried Black Beans,20.50 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076406021604,Drinks NT 5,1,n,n,Jumex Guava Nectar,11.30 FL OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076406021802,Drinks NT 5,1,n,n,Jumex Mango Nectar,11.30 FL OZ,,n,1,0,0,n,,-1,,,,,,n,,,,,,,
076406021901,Grocery,1,n,n,Jumex Peach,11.30 FL OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076406023103,Drinks NT 5,1,n,n,Jumex:Strawberry Banana,11.30 FL OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076406061808,Grocery,1,n,n,Jumex Mango,33.81 FL OZ,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
076406668106,Drinks NT 5,1,n,n,Jumex Peach Nectar,16 oz,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076406668205,Drinks NT 5,1,n,n,Jumex Nectar Strawberry Banana,16.9 Oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076406668304,Drinks NT 5,1,n,n,Jumex Nectar Mango,16 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076406668502,Grocery,1,n,n,Jumex Guava Nectar,16 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076406668601,Drinks NT 5,1,n,n,Jumex Coco Pina,16 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076410012360,Grocery,1,n,n,Lance Fresh:White Cheddar Cheese,3.50 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
076410093017,Grocery,1,n,n,Lance,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
076410093642,Grocery,1,n,n,Lance Fresh:Movie Theater Butter,3.50 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
076410901190,Grocery,1,n,n,Lance Toast Chee Crackers,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
